,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon
15,97.0,,Sint-Pieterskerstraat,,1090.0,Brussel,Bruxelles-Brussel,,,,,"Sint-Pieterskerstraat,,Bruxelles-Brussel,Belgium",50.8802534,4.3250605
16,98.0,,Wemmelsestweg,100.0,1090.0,Brussel,Bruxelles-Brussel,,,,,"Wemmelsestweg,100.0,Bruxelles-Brussel,Belgium",50.8476424,4.3571696
17,100.0,,Rue Pietro Ferrero,5.0,6700.0,ARLON,Luxembourg,,N,,,"Rue Pietro Ferrero,5.0,Luxembourg,Belgium",49.6745435,5.818557
18,101.0,,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,"Tweestationsstraat,80.0,Bruxelles-Brussel,Belgium",50.8314212,4.3222147
19,102.0,,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,"Nieuwe Weg ,1.0,Antwerpen,Belgium",51.2398636,4.3272098
20,111.0,,Hermeslaan,2.0,1831.0,MachelenBt),Vlaams-Brabant,,,,,"Hermeslaan,2.0,Vlaams-Brabant,Belgium",50.8819608,4.441951
21,115.0,,Gemeenteplein,1.0,3798.0,Voeren  s Gravenvoeren,Limburg,,Y,,,"Gemeenteplein,1.0,Limburg,Belgium",50.8405611,5.3343441
22,116.0,,Remersdaal-Dorp,1.0,3791.0,Remersdaal,Limburg,,,,,"Remersdaal-Dorp,1.0,Limburg,Belgium",50.7297617,5.8785602
23,117.0,,Sint-Pieterstraat ,20.0,3792.0,Sint-Pieters-Voeren,Limburg,,Y,,,"Sint-Pieterstraat ,20.0,Limburg,Belgium",51.2501641,5.3881277
24,118.0,,Kerkplein,1.0,3790.0,Moelingen,Limburg,,Y,,,"Kerkplein,1.0,Limburg,Belgium",51.1711134,5.5777491
25,119.0,,Gieveldstraat,,3793.0,Teuven,Limburg,,Y,,,"Gieveldstraat,,Limburg,Belgium",50.9738973,5.3419677
26,120.0,,Kerkstraat,1.0,3790.0,VOEREN,Limburg,,Y,,,"Kerkstraat,1.0,Limburg,Belgium",51.0819081,5.1027126
27,167.0,,Vanhalstraat,1.0,1500.0,Halle,Vlaams-Brabant,,y,,,"Vanhalstraat,1.0,Vlaams-Brabant,Belgium",50.8815434,4.564597
28,170.0,,Brikkenovenstraat,48.0,3600.0,Genk,Limburg,,N,,,"Brikkenovenstraat,48.0,Limburg,Belgium",50.9792712,5.4711585
29,214.0,,Rue de l église,,1150.0,Bruxelles,Bruxelles-Brussel,,,,,"Rue de l église,,Bruxelles-Brussel,Belgium",50.8407211,4.4634331
30,218.0,,Cours des mineurs,,4000.0,Liège,Liège,,,,,"Cours des mineurs,,Liège,Belgium",50.6472929,5.5760923
31,219.0,,Rue des Croisiers,15.0,4000.0,Liège,Liège,,,,,"Rue des Croisiers,15.0,Liège,Belgium",50.6393547,5.5761561
32,220.0,,Rue de l école technique ,,4040.0,Herstal,Liège,,,,,"Rue de l école technique ,,Liège,Belgium",50.6715508,5.6402438
33,221.0,,Rue de Wallonie,30.0,4460.0,Bierset,Liège,,,,,"Rue de Wallonie,30.0,Liège,Belgium",50.653661,5.4888011
34,222.0,,Rue Paul d Andrimont,24.0,4630.0,Micheroux,Liège,,,,,"Rue Paul d Andrimont,24.0,Liège,Belgium",50.6258166,5.7163815
35,223.0,,Bd. Léon Philippet,83.0,4000.0,Liège,Liège,,,,,"Bd. Léon Philippet,83.0,Liège,Belgium",50.6527913,5.5594107
36,224.0,,Rue du Commerce,14.0,4100.0,Seraing,Liège,,,,,"Rue du Commerce,14.0,Liège,Belgium",50.6690973,5.5356477
37,225.0,,Rue Peetermans,80.0,4100.0,Seraing,Liège,,,,,"Rue Peetermans,80.0,Liège,Belgium",50.6117019,5.5101966
38,226.0,,Rue J. Stassart,15.0,4367.0,Crisnée,Liège,,,,,"Rue J. Stassart,15.0,Liège,Belgium",50.7081407,5.3898948
39,227.0,,Route de Dinant,119.0,4020.0,Liège,Liège,,,,,"Route de Dinant,119.0,Liège,Belgium",50.6415737,5.5823234
40,228.0,,Rue de Huy,123.0,4300.0,Waremme,Liège,,,,,"Rue de Huy,123.0,Liège,Belgium",50.6474037,5.2679525
41,229.0,,Rue de Sélys,35.0,4300.0,Waremme,Liège,,,,,"Rue de Sélys,35.0,Liège,Belgium",50.6303092,5.5641217
42,230.0,,Rue St. Pierre,48.0,4500.0,Huy,Liège,,,,,"Rue St. Pierre,48.0,Liège,Belgium",50.645766,5.5710525
43,231.0,,Avenue Delchambre,6.0,4500.0,Huy,Liège,,,,,"Avenue Delchambre,6.0,Liège,Belgium",50.5212782,5.2402073
44,232.0,,Rue Lambert Marlet,23.0,4020.0,Liège,Liège,,,,,"Rue Lambert Marlet,23.0,Liège,Belgium",50.6844201,5.7233941
45,233.0,,Rue Aux Laines,69.0,4800.0,Verviers,Liège,,,,,"Rue Aux Laines,69.0,Liège,Belgium",50.5891081,5.8515833
46,234.0,,Rue av. Peltzer,40.0,4020.0,Liège,Liège,,,,,"Rue av. Peltzer,40.0,Liège,Belgium",50.5833655,5.8550367
47,235.0,,Route du Canada,157.0,4910.0,La Reid,Liège,,,,,"Route du Canada,157.0,Liège,Belgium",50.63295859999999,5.569749799999999
48,238.0,,Route de Botrange,131.0,4950.0,Robertville,Liège,,,,,"Route de Botrange,131.0,Liège,Belgium",50.4907832,6.1058516
49,239.0,,Grand Route,317.0,4400.0,,Liège,,,,,"Grand Route,317.0,Liège,Belgium",50.5989286,5.4699894
50,240.0,,Avenue Montesquieu,6.0,4101.0,Jemeppe-sur-Meuse,Liège,,,,,"Avenue Montesquieu,6.0,Liège,Belgium",50.6201459,5.5147931
51,242.0,,Rue Grand Puits,,4040.0,Herstal,Liège,,,,,"Rue Grand Puits,,Liège,Belgium",50.6716874,5.6393763
52,259.0,,Rue de la Bouviere,1.0,4190.0,Vieuxville,Liège,,,,,"Rue de la Bouviere,1.0,Liège,Belgium",50.63295859999999,5.569749799999999
53,275.0,,Da Vincilaan,,1930.0,Zaventem,Vlaams-Brabant,,,,,"Da Vincilaan,,Vlaams-Brabant,Belgium",50.8891268,4.4592719
54,277.0,Appareil Mobile- Mobiel apparaat,Adriaan Brouwerstraat,24.0,2000.0,Antwerpen,Antwerpen,,,,,"Adriaan Brouwerstraat,24.0,Antwerpen,Belgium",51.2275916,4.40346
55,282.0,,Kempenarestraat,53.0,2860.0,Sint-Katelijne-Waver,Antwerpen,,Y,,,"Kempenarestraat,53.0,Antwerpen,Belgium",51.0640782,4.5193812
56,310.0,,Koninginnelaan,1.0,8400.0,Oostende,West-Vlaanderen,,,,,"Koninginnelaan,1.0,West-Vlaanderen,Belgium",51.1857528,2.8137089
57,311.0,,Northlaan,13.0,8400.0,Oostende,West-Vlaanderen,,,,,"Northlaan,13.0,West-Vlaanderen,Belgium",51.2180627,2.8892599
58,312.0,,Kursaal - Oosthelling,12.0,8400.0,Oostende,West-Vlaanderen,,,,,"Kursaal - Oosthelling,12.0,West-Vlaanderen,Belgium",51.232146,2.9126781
59,313.0,,Leopold Van Tyghemlaan,62.0,8400.0,Oostende,West-Vlaanderen,,,,,"Leopold Van Tyghemlaan,62.0,West-Vlaanderen,Belgium",51.2162365,2.8874038
60,315.0,,Wetstraat,23.0,1040.0,Brussel,Bruxelles-Brussel,,,,,"Wetstraat,23.0,Bruxelles-Brussel,Belgium",50.84429,4.3748384
61,316.0,,Grotesteenweg - Noord,9.0,9052.0,Gent,Oost-Vlaanderen,,,,,"Grotesteenweg - Noord,9.0,Oost-Vlaanderen,Belgium",51.0132601,3.7058792
62,317.0,,Kunstlaan,16.0,3500.0,Hasselt,Limburg,,,,,"Kunstlaan,16.0,Limburg,Belgium",50.9270688,5.3454196
63,318.0,,Interleuvenlaan ,58.0,3001.0,Leuven,Vlaams-Brabant,,,,,"Interleuvenlaan ,58.0,Vlaams-Brabant,Belgium",50.8507187,4.7303674
64,319.0,,Sint-Katelijnestraat ,154.0,2800.0,Mechelen,Antwerpen,,,,,"Sint-Katelijnestraat ,154.0,Antwerpen,Belgium",51.0317768,4.4766294
65,320.0,,Hof ter Weze,1.0,8800.0,Roeselare,West-Vlaanderen,,,,,"Hof ter Weze,1.0,West-Vlaanderen,Belgium",50.92374,3.11918
66,321.0,,Patersstraat,100.0,2300.0,Turnhout,Antwerpen,,,,,"Patersstraat,100.0,Antwerpen,Belgium",51.3262867,4.9494814
67,323.0,,Interleuven,58.0,3001.0,Leuven,Vlaams-Brabant,,,,,"Interleuven,58.0,Vlaams-Brabant,Belgium",50.8826624,4.6967705
68,328.0,, Ingelmunstersteenweg,11.0,8760.0,Meulebeke,West-Vlaanderen,,,,," Ingelmunstersteenweg,11.0,West-Vlaanderen,Belgium",50.9176548,3.3076535
69,335.0,,Chaussée de Haecht,1405.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,"Chaussée de Haecht,1405.0,Bruxelles-Brussel,Belgium",50.8736567,4.400468
70,341.0,,Avenue du Bois St. Jean,21.0,4000.0,Liège,Liège,,,,,"Avenue du Bois St. Jean,21.0,Liège,Belgium",50.5788411,5.5554202
71,344.0,,Keienpoelweg,6.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,"Keienpoelweg,6.0,Vlaams-Brabant,Belgium",50.7953429,4.9902691
72,346.0,,Avenue de Gaulle,2.0,7500.0,Tournai,Hainaut,,Y,,,"Avenue de Gaulle,2.0,Hainaut,Belgium",50.6058876,3.3782135
73,349.0,,Haven 1968 Sint Annalaan ,1.0,9130.0,Kallo,Oost-Vlaanderen,,Y,,,"Haven 1968 Sint Annalaan ,1.0,Oost-Vlaanderen,Belgium",51.2881745,4.2892698
74,354.0,,Bld Leopold II,44.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,"Bld Leopold II,44.0,Bruxelles-Brussel,Belgium",50.860875,4.3386838
75,355.0,,Adolphe Lavallée,1.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,"Adolphe Lavallée,1.0,Bruxelles-Brussel,Belgium",50.8589961,4.3419258
76,356.0,,Bld. Du jardin Botanique,,1000.0,Bruxelles,Bruxelles-Brussel,,,,,"Bld. Du jardin Botanique,,Bruxelles-Brussel,Belgium",50.8546109,4.3606333
77,357.0,,Ch. St - Joseph,4.0,1440.0,Braine-le-Château,Brabant Wallon,,,,,"Ch. St - Joseph,4.0,Brabant Wallon,Belgium",50.6715622,4.3055208
78,358.0,,Rue des boignées,13.0,1440.0,Wauthier-Braine,Brabant Wallon,,,,,"Rue des boignées,13.0,Brabant Wallon,Belgium",50.633241,4.524315
79,359.0,,Rue de l institut,8.0,6040.0,Jumet,Hainaut,,,,,"Rue de l institut,8.0,Hainaut,Belgium",50.6662111,3.2662917
80,360.0,,Rue de Bricgniot,196.0,5002.0,Saint-Servais,Namur,,,,,"Rue de Bricgniot,196.0,Namur,Belgium",50.4818182,4.8266295
81,361.0,,Rue sur les bois,113.0,4870.0,Fraipont,Liège,,,,,"Rue sur les bois,113.0,Liège,Belgium",50.5608393,5.746647
82,362.0,,Rue de l Hydrion 108l,108.0,6700.0,Arlon,Luxembourg,,,,,"Rue de l Hydrion 108l,108.0,Luxembourg,Belgium",49.6836918,5.7942668
83,364.0,,Place des Sports,3.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,"Place des Sports,3.0,Brabant Wallon,Belgium",50.670199,4.6014444
84,365.0,,Rue de la Marlette,3.0,7180.0,Seneffe,Hainaut,,,,,"Rue de la Marlette,3.0,Hainaut,Belgium",50.5083586,4.2686247
85,366.0,,Av. de la Sapinette,3.0,7000.0,Mons,Hainaut,,,,,"Av. de la Sapinette,3.0,Hainaut,Belgium",50.4668862,3.9417508
86,367.0,,Av. du Lac ,56.0,7640.0,Antoing,Hainaut,,,,,"Av. du Lac ,56.0,Hainaut,Belgium",50.5455338,3.4469539
87,368.0,,Av. Amédée Hesse,41.0,4900.0,Spa,Liège,,,,,"Av. Amédée Hesse,41.0,Liège,Belgium",50.4979428,5.8805275
88,369.0,,Ile de Campana,,4030.0,Grivegnée,Liège,,,,,"Ile de Campana,,Liège,Belgium",50.63295859999999,5.569749799999999
89,370.0,,Allée des Sports,63.0,4000.0,Liège,Liège,,,,,"Allée des Sports,63.0,Liège,Belgium",50.5772729,5.5690988
90,371.0,,Allée du Stade,3.0,5100.0,Jambes,Namur,,,,,"Allée du Stade,3.0,Namur,Belgium",50.4564594,4.8739337
91,372.0,,Rue Chéravoie,2.0,6840.0,Neufchâteau,Luxembourg,,,,,"Rue Chéravoie,2.0,Luxembourg,Belgium",50.1296603,5.7911762
92,373.0,,Site de l Eau d Heure,4.0,6440.0,Froidchapelle,Hainaut,,,,,"Site de l Eau d Heure,4.0,Hainaut,Belgium",50.1857528,4.3823302
93,374.0,,Allée des Sports,12.0,6280.0,Loverval,Hainaut,,,,,"Allée des Sports,12.0,Hainaut,Belgium",50.3708294,4.4721495
94,375.0,,Rue du Liry,21.0,6810.0,Chiny,Luxembourg,,,,,"Rue du Liry,21.0,Luxembourg,Belgium",49.7371728,5.3463578
95,376.0,,Chée de Wavre,2057.0,1160.0,Bruxelles,Bruxelles-Brussel,,,,,"Chée de Wavre,2057.0,Bruxelles-Brussel,Belgium",50.8248619,4.3993214
96,377.0,,Av. Mounier,87.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,"Av. Mounier,87.0,Bruxelles-Brussel,Belgium",50.8507765,4.4537123
97,378.0,,Rue des Grives,53.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,"Rue des Grives,53.0,Bruxelles-Brussel,Belgium",50.8165794,4.2971445
98,379.0,,Omer Vanaudenhovelaan,48.0,3290.0,Diest,Vlaams-Brabant,,Y,,,"Omer Vanaudenhovelaan,48.0,Vlaams-Brabant,Belgium",50.9856745,5.0621823
99,380.0,,Fabriekstraat,,3980.0,Tessenderlo,Limburg,,,,,"Fabriekstraat,,Limburg,Belgium",50.818084,5.1730648
100,381.0,,Pastorijstraat ,118.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,"Pastorijstraat ,118.0,Vlaams-Brabant,Belgium",50.7886517,4.9198733
101,383.0,,Brand Whitlocklaan,165.0,1200.0,Brussel,Bruxelles-Brussel,,,,,"Brand Whitlocklaan,165.0,Bruxelles-Brussel,Belgium",50.8422687,4.4061025
102,384.0,,Gobelinstraat,3.0,9700.0,Oudenaarde,Oost-Vlaanderen,,,,,"Gobelinstraat,3.0,Oost-Vlaanderen,Belgium",50.8483672,3.6026861
103,385.0,,Kolonel Begaultlaan ,15.0,3012.0,Wilsele,Vlaams-Brabant,,,,,"Kolonel Begaultlaan ,15.0,Vlaams-Brabant,Belgium",50.8958652,4.7062523
104,387.0,,Beeldhouwkunstlaan,,1700.0,Dilbeek,Vlaams-Brabant,,N,,,"Beeldhouwkunstlaan,,Vlaams-Brabant,Belgium",50.84208,4.2795
105,389.0,,Kapelstraat,100.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,Y,,,"Kapelstraat,100.0,Oost-Vlaanderen,Belgium",51.1278439,3.4826043
106,390.0,,Vierwegstraat,194.0,8800.0,Roeselare,West-Vlaanderen,,,,,"Vierwegstraat,194.0,West-Vlaanderen,Belgium",50.949417,3.1488381
107,396.0,,Paderstraat ,158.0,8620.0,Nieuwpoort,West-Vlaanderen,,,,,"Paderstraat ,158.0,West-Vlaanderen,Belgium",51.0536024,3.1457942
108,398.0,,Haarlebeek,3.0,2275.0,Lille,Antwerpen,,,,,"Haarlebeek,3.0,Antwerpen,Belgium",51.2836784,4.8265535
109,399.0,,Pedro Colomalaan,25.0,2880.0,Bornem,Antwerpen,,,,,"Pedro Colomalaan,25.0,Antwerpen,Belgium",51.0921553,4.2518637
110,403.0,,Parc Industriel Zone A,,7011.0,Ghlin,Hainaut,,,,,"Parc Industriel Zone A,,Hainaut,Belgium",50.7246111,3.3272949
111,404.0,,Wiemesmeerstraat ,105.0,3600.0,Genk,Limburg,,Y,,,"Wiemesmeerstraat ,105.0,Limburg,Belgium",50.9803234,5.5471722
112,407.0,,Schurhovenveld ,4820.0,3800.0,Sint-Truiden,Limburg,,,,,"Schurhovenveld ,4820.0,Limburg,Belgium",50.9738973,5.3419677
113,409.0,,Vlasland,4.0,2260.0,Westerlo,Antwerpen,,Y,,,"Vlasland,4.0,Antwerpen,Belgium",51.0958701,4.8698926
114,411.0,,Vlieghavenlaan,50.0,3140.0,Keerbergen,Vlaams-Brabant,,,,,"Vlieghavenlaan,50.0,Vlaams-Brabant,Belgium",51.0047679,4.6706963
115,414.0,,Slachthuislaan,74.0,2060.0,Antwerpen,Antwerpen,,,,,"Slachthuislaan,74.0,Antwerpen,Belgium",51.2316399,4.4338623
116,415.0,,Elzen,145.0,3920.0,Lommel,Limburg,,,,,"Elzen,145.0,Limburg,Belgium",51.2552993,5.3272894
117,417.0,,Arianelaan,5.0,1200.0,Brussel,Bruxelles-Brussel,,,,,"Arianelaan,5.0,Bruxelles-Brussel,Belgium",50.85818,4.43229
118,418.0,,Stift,2.0,3960.0,Bree,Limburg,,,,,"Stift,2.0,Limburg,Belgium",51.1445658,5.5974651
119,419.0,,Katjeswilgenlaan ,,3010.0,Kessel-Lo,Vlaams-Brabant,,N,,,"Katjeswilgenlaan ,,Vlaams-Brabant,Belgium",50.8936461,4.7186837
120,420.0,,Weerstandlaan,24.0,2660.0,Hoboken,Antwerpen,,,,,"Weerstandlaan,24.0,Antwerpen,Belgium",51.1862705,4.3705094
121,421.0,,Citadelpark ,,9000.0,Gent,Oost-Vlaanderen,,,,,"Citadelpark ,,Oost-Vlaanderen,Belgium",51.0366794,3.718936799999999
122,422.0,,Citadelpark ,,9000.0,Gent,Oost-Vlaanderen,,,,,"Citadelpark ,,Oost-Vlaanderen,Belgium",51.0366794,3.718936799999999
123,423.0,,Citadelpark ,,9000.0,Gent,Oost-Vlaanderen,,,,,"Citadelpark ,,Oost-Vlaanderen,Belgium",51.0366794,3.718936799999999
124,424.0,,Citadelpark ,,9000.0,Gent,Oost-Vlaanderen,,,,,"Citadelpark ,,Oost-Vlaanderen,Belgium",51.0366794,3.718936799999999
125,425.0,,Citadelpark ,,9000.0,Gent,Oost-Vlaanderen,,,,,"Citadelpark ,,Oost-Vlaanderen,Belgium",51.0366794,3.718936799999999
126,427.0,,Tervuursevest,101.0,3001.0,Heverlee,Vlaams-Brabant,,,,,"Tervuursevest,101.0,Vlaams-Brabant,Belgium",50.872564,4.6909425
127,428.0,,Speiestraat,32.0,8940.0,Wervik,West-Vlaanderen,,N,,,"Speiestraat,32.0,West-Vlaanderen,Belgium",50.780152,3.0487826
128,429.0,,Place des sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,"Place des sports,1.0,Brabant Wallon,Belgium",50.670199,4.6014444
129,430.0,,Rue du Castinia,,1348.0,Louvain-la-Neuve,Brabant Wallon,,,,,"Rue du Castinia,,Brabant Wallon,Belgium",50.6702865,4.6052193
130,431.0,,Liersestwg.,4.0,2800.0,Mechelen,Antwerpen,,,,,"Liersestwg.,4.0,Antwerpen,Belgium",51.1680678,4.4766556
131,434.0,,Route St - Hubert,1.0,6800.0,Recogne,Luxembourg,,,,,"Route St - Hubert,1.0,Luxembourg,Belgium",50.0155148,5.4575392
132,436.0,,Vaartstraat,60.0,8710.0,Wielsbeke,West-Vlaanderen,,,,,"Vaartstraat,60.0,West-Vlaanderen,Belgium",51.0398079,2.6977768
133,437.0,,Ooigemstraat,12.0,8710.0,Wielsbeke,West-Vlaanderen,,,,,"Ooigemstraat,12.0,West-Vlaanderen,Belgium",50.9018297,3.3588359
134,438.0,,Westerring,15.0,9700.0,Oudenaarde,Oost-Vlaanderen,,,,,"Westerring,15.0,Oost-Vlaanderen,Belgium",50.8600356,3.5965213
135,445.0,,Nazarethsesteenweg,77.0,9800.0,Astene,Oost-Vlaanderen,,N,,,"Nazarethsesteenweg,77.0,Oost-Vlaanderen,Belgium",50.9269769,3.5769565
136,450.0,,Lamorinierestraat,,2018.0,Antwerpen,Antwerpen,,Y,,,"Lamorinierestraat,,Antwerpen,Belgium",51.2035955,4.420659
137,451.0,,Riderveldlaan,5.0,2018.0,Antwerpen,Antwerpen,,Y,,,"Riderveldlaan,5.0,Antwerpen,Belgium",51.1906593,4.6555991
138,452.0,,Nijverheidslaan,7.0,3200.0,Aarschot,Vlaams-Brabant,,,,,"Nijverheidslaan,7.0,Vlaams-Brabant,Belgium",50.9121596,4.3626005
139,453.0,,Nijverheidslaan,7.0,3200.0,Aarschot,Vlaams-Brabant,,,,,"Nijverheidslaan,7.0,Vlaams-Brabant,Belgium",50.9121596,4.3626005
140,454.0,,Nijverheidslaan,,3200.0,Aarschot,Vlaams-Brabant,,,,,"Nijverheidslaan,,Vlaams-Brabant,Belgium",50.9121596,4.3626005
141,455.0,,Schaliehoevestraat ,12.0,2220.0,Heist-Op-Den-Berg,Antwerpen,,,,,"Schaliehoevestraat ,12.0,Antwerpen,Belgium",51.0490787,4.7032741
142,456.0,,Nijverheidslaan,7.0,3200.0,Aarschot,Vlaams-Brabant,,,,,"Nijverheidslaan,7.0,Vlaams-Brabant,Belgium",50.9121596,4.3626005
143,457.0,,Cipaalstraat ,8.0,2440.0,Geel,Antwerpen,,,,,"Cipaalstraat ,8.0,Antwerpen,Belgium",51.2213404,4.4051485
144,458.0,,Erperheidestraat,2.0,3990.0,Peer,Limburg,,Y,,,"Erperheidestraat,2.0,Limburg,Belgium",51.128891,5.5050819
145,459.0,,Koldamstraat,9.0,1560.0,Hoeilaart,Vlaams-Brabant,,,,,"Koldamstraat,9.0,Vlaams-Brabant,Belgium",50.7683734,4.4769566
146,460.0,,Nekkerspoelstraat,199.0,2800.0,Mechelen,Antwerpen,,,,,"Nekkerspoelstraat,199.0,Antwerpen,Belgium",51.0316932,4.4982375
147,461.0,,Kruisstraat,54.0,3120.0,Tremelo,Vlaams-Brabant,,,,,"Kruisstraat,54.0,Vlaams-Brabant,Belgium",50.9944506,4.6868767
148,466.0,,Av. de Burlet,4.0,1400.0,Nivelles,Brabant Wallon,,,,,"Av. de Burlet,4.0,Brabant Wallon,Belgium",50.6012326,4.3321286
149,468.0,,Zeypestraat,26.0,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,"Zeypestraat,26.0,Vlaams-Brabant,Belgium",50.9514219,4.563022
150,469.0,,Bergtorfbroeklaan,,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,"Bergtorfbroeklaan,,Vlaams-Brabant,Belgium",50.8815434,4.564597
151,470.0,,Kerkstraat,34.0,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,"Kerkstraat,34.0,Vlaams-Brabant,Belgium",50.8815434,4.564597
152,471.0,,Steenweg op Zevendonk ,18.0,2300.0,Turnhout,Antwerpen,,Y,,,"Steenweg op Zevendonk ,18.0,Antwerpen,Belgium",51.3050618,4.9501904
153,472.0,,Uilenbaan,15.0,2160.0,Wommelgem,Antwerpen,,,,,"Uilenbaan,15.0,Antwerpen,Belgium",51.213423,4.51271
154,473.0,,Reep,1.0,9000.0,Gent,Oost-Vlaanderen,,Y,,,"Reep,1.0,Oost-Vlaanderen,Belgium",51.05433243422625,3.73245419606177
155,474.0,,Vlamingenstraat,83.0,3000.0,Leuven,Vlaams-Brabant,,Y,,,"Vlamingenstraat,83.0,Vlaams-Brabant,Belgium",50.8750887,4.7034278
156,475.0,,Steenweg op Tielen ,51.0,2300.0,Turnhout,Antwerpen,,Y,,,"Steenweg op Tielen ,51.0,Antwerpen,Belgium",51.298407,4.9330216
157,476.0,,Cathilleweg t,38.0,8490.0,Jabbeke,West-Vlaanderen,,,,,"Cathilleweg t,38.0,West-Vlaanderen,Belgium",51.215602,3.0710999
158,477.0,,Sarkoheemstraa,2.0,8490.0,Jabbeke,West-Vlaanderen,,,,,"Sarkoheemstraa,2.0,West-Vlaanderen,Belgium",51.0536024,3.1457942
159,478.0,,Oude Dorpweg,58.0,8490.0,Jabbeke,West-Vlaanderen,,,,,"Oude Dorpweg,58.0,West-Vlaanderen,Belgium",51.1868021,3.1436888
160,479.0,,Eernegemweg  ,,8490.0,Jabbeke,West-Vlaanderen,,,,,"Eernegemweg  ,,West-Vlaanderen,Belgium",51.1637576,3.1043331
161,480.0,,Dorpsstraat,,8490.0,Jabbeke,West-Vlaanderen,,,,,"Dorpsstraat,,West-Vlaanderen,Belgium",51.0747744,2.6007669
162,485.0,,Parklaan ,,2300.0,Turnhout,Antwerpen,,N,,,"Parklaan ,,Antwerpen,Belgium",51.1696458,4.4276565
163,488.0,,Motstraat,32.0,2800.0,Mechelen,Antwerpen,,,,,"Motstraat,32.0,Antwerpen,Belgium",51.0144121,4.4919669
164,489.0,,Zeutestraat ,5.0,2800.0,Mechelen,Antwerpen,,,,,"Zeutestraat ,5.0,Antwerpen,Belgium",51.0942472,4.3532407
165,490.0,,Rue de Chassart,38.0,1495.0,Marbais,Brabant Wallon,,,,,"Rue de Chassart,38.0,Brabant Wallon,Belgium",50.5262493,4.5159216
166,491.0,,Squaire Marie-Curie,40.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,"Squaire Marie-Curie,40.0,Bruxelles-Brussel,Belgium",50.821763,4.2850474
167,492.0,,Rue Osseghem,53.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,"Rue Osseghem,53.0,Bruxelles-Brussel,Belgium",50.8542413,4.3180183
