,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
136,450.0,,Lamorinierestraat,,2018.0,Antwerpen,Antwerpen,,Y,,,"Lamorinierestraat,,Antwerpen,Belgium",51.2035955,4.420659,"[(51.202641, 4.4191), (51.202598, 4.419208), (51.202512, 4.419293), (51.202469, 4.419422), (51.202512, 4.419551), (51.202855, 4.419894), (51.203113, 4.41998), (51.203885, 4.420753), (51.204143, 4.420838), (51.204572, 4.421268), (51.204829, 4.421353), (51.205516, 4.42204), (51.205516, 4.422126), (51.205387, 4.422169), (51.205258, 4.422126), (51.205173, 4.42204), (51.204915, 4.421954), (51.204486, 4.421525), (51.2044, 4.421525), (51.204357, 4.421654), (51.204357, 4.422855), (51.204314, 4.422984), (51.204228, 4.42307), (51.204185, 4.423199), (51.204185, 4.423542), (51.204143, 4.423671), (51.204057, 4.423671), (51.204014, 4.423542), (51.204014, 4.422169), (51.204057, 4.42204), (51.204143, 4.421954), (51.204185, 4.421825), (51.204185, 4.421482), (51.204143, 4.421353), (51.203456, 4.420667), (51.203198, 4.420581), (51.202598, 4.41998), (51.20234, 4.419894), (51.202254, 4.419808), (51.201997, 4.419723), (51.201954, 4.419594), (51.201954, 4.419422), (51.201997, 4.419293), (51.202254, 4.419208), (51.202512, 4.41895), (51.202598, 4.418929), (51.202641, 4.418993), (51.202641, 4.4191)]"
137,451.0,,Riderveldlaan,5.0,2018.0,Antwerpen,Antwerpen,,Y,,,"Riderveldlaan,5.0,Antwerpen,Belgium",51.1906593,4.6555991,
155,474.0,,Vlamingenstraat,83.0,3000.0,Leuven,Vlaams-Brabant,,Y,,,"Vlamingenstraat,83.0,Vlaams-Brabant,Belgium",50.8750887,4.7034278,
189,535.0,,Site Philips - Ubicenter,208.0,3000.0,Leuven,Vlaams-Brabant,,,,,"Site Philips - Ubicenter,208.0,Vlaams-Brabant,Belgium",50.8670637,4.7127525,
210,576.0,,Herestraat,19.0,3000.0,Leuven,Vlaams-Brabant,,,,,"Herestraat,19.0,Vlaams-Brabant,Belgium",50.8789643,4.6771965,
228,606.0,,Groot Begijnhof,14.0,3000.0,Leuven,Vlaams-Brabant,,Y,,,"Groot Begijnhof,14.0,Vlaams-Brabant,Belgium",50.8713296,4.6969825,
237,616.0,,Belgiëlei,34.0,2018.0,Antwerpen,Antwerpen,,,,,"Belgiëlei,34.0,Antwerpen,Belgium",51.2053497,4.4175914,
301,806.0,,Philipssite,5.0,3001.0,Leuven,Vlaams-Brabant,,,,,"Philipssite,5.0,Vlaams-Brabant,Belgium",50.8680749,4.7119704,
303,808.0,,Frankrijklei,79.0,2018.0,Antwerpen,Antwerpen,,,,,"Frankrijklei,79.0,Antwerpen,Belgium",51.2151342,4.4127668,
324,839.0,,Generaal Lemanstraat,69.0,2018.0,Antwerpen,Antwerpen,,,,,"Generaal Lemanstraat,69.0,Antwerpen,Belgium",51.1918561,4.4129323,
335,848.0,,Pr. Kennedypark,2.0,8500.0,Kortrijk,West-Vlaanderen,,,,,"Pr. Kennedypark,2.0,West-Vlaanderen,Belgium",50.8004697,3.2735276,
408,994.0,,Provincieplein,1.0,3010.0,Leuven,Vlaams-Brabant,,Y,,,"Provincieplein,1.0,Vlaams-Brabant,Belgium",50.8771925,4.716265,
425,1012.0,,Benzineweg,11.0,2020.0,Antwerpen,Antwerpen,,,,,"Benzineweg,11.0,Antwerpen,Belgium",51.1966858,4.3495278,
